"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"PYROXD1",-1.1416054,10.7508005,-5.45092855893587,2.39783407070449e-05,0.00349979080492302,2.77855196164711
"TMPRSS2",-2.0343327,11.59475325,-5.45064288191928,2.39938749875197e-05,0.00349979080492302,2.77794319625448
"LOC105378698",-0.82040585,8.776249575,-5.44661174475692,2.42141739425327e-05,0.00350829919074408,2.7693520477424
"CWH43",-5.2840292,6.54175975,-5.44380671306885,2.43686832066478e-05,0.00350829919074408,2.76337290513085
"ADH1A",-2.14555123,6.765804345,-5.43177052952045,2.50431689918414e-05,0.00355003769507576,2.7377069405223
"REC8",-1.38911529,8.205892705,-5.42838392255919,2.52363585266351e-05,0.00355003769507576,2.73048245043489
"KCTD20",0.853385699999999,11.21267595,5.42826854050787,2.52429672185162e-05,0.00355003769507576,2.73023628902736
"AKR1C2",-3.22921465,12.340772925,-5.42729005731068,2.52990823969135e-05,0.00355003769507576,2.72814868872635
"ARAF",-0.714701600000001,8.72302625,-5.4195524186082,2.57473333064857e-05,0.00357146010412422,2.7116366758737
"BMP1",1.16171875,7.511431005,5.41525113900799,2.60000053124003e-05,0.00357146010412422,2.70245496308682
"ATP5F1A",-0.638202249999996,14.530683875,-5.41452846137208,2.60427052974632e-05,0.00357146010412422,2.70091210273531
"RARRES1",2.07077550000001,9.49334795,5.41362655170477,2.60960956595608e-05,0.00357146010412422,2.69898651582259
"SLC7A8",-1.36720365,9.519623875,-5.4067114339638,2.65091755033434e-05,0.00357424410147095,2.68421971156372
"DSE",1.2954947,10.6528019,5.40543155843535,2.65863578841787e-05,0.00357424410147095,2.68148604484461
"COL4A1",1.5265119,12.55109005,5.40310696524938,2.67271279539694e-05,0.00357424410147095,2.67652052538903
"TMBIM6",-0.771571399999997,13.3450138,-5.40254474502689,2.67612882073058e-05,0.00357424410147095,2.67531948913365
"LOC105378130",-1.63139153,5.588670795,-5.3996577012828,2.69374060978069e-05,0.00357622293769147,2.66915153514942
"TMEM95",-2.59923429,4.660275985,-5.39294180692519,2.73516800460056e-05,0.00360960772797613,2.65480002851988
"FAHD2CP",-0.81140898,7.59436715,-5.3841827841875,2.79017623513019e-05,0.00361839286056433,2.6360751374131
"LOC105376301",-2.76030962,6.31651642,-5.3832858957785,2.79587212626015e-05,0.00361839286056433,2.63415731764326
"PEA15",0.961810999999999,11.3002201,5.38240128456504,2.80150165731908e-05,0.00361839286056433,2.63226566545361
"STYK1",-2.40093159,9.065597405,-5.3815223579427,2.80710645445431e-05,0.00361839286056433,2.63038608583361
"CAPN13",-3.79500058,8.29225561,-5.37867958983145,2.82531278666318e-05,0.00361974319191167,2.62430627378648
"MT2A",-1.55171375,13.584522175,-5.37627496634987,2.84080697935425e-05,0.00361974319191167,2.61916284193384
"LOC100506403",1.06386595,10.428971475,5.37078079282608,2.8765344795265e-05,0.00362361624690807,2.60740861211654
"RUNX1",1.06386595,10.428971475,5.37078079282608,2.8765344795265e-05,0.00362361624690807,2.60740861211654
"ANGPTL3",-3.00873509,6.015414095,-5.36563605236785,2.91040481099319e-05,0.00364556977765707,2.59639903419765
"NID2",2.27884352,9.32217492,5.3550690379685,2.98125293781444e-05,0.0036760480939393,2.57377712863727
"TUBB6",1.42840345,10.779716475,5.35177876624115,3.0036699351763e-05,0.0036760480939393,2.56673088393563
"MT1HL1",-2.02777715,12.948725125,-5.3511126140933,3.0082293711312e-05,0.0036760480939393,2.56530415383789
"MAGI3",-1.30883427,9.543493165,-5.35058877566399,3.01181970226765e-05,0.0036760480939393,2.56418219093432
"MMD",0.981706999999998,10.3819782,5.34974106834798,3.01763904693949e-05,0.0036760480939393,2.56236650067199
"SLC14A1",-1.6154127,6.60381249,-5.33954805453735,3.0885157643216e-05,0.00372044363937414,2.54052832143487
"BCAT1",1.8231102,9.74981775,5.33899942261635,3.09237840874191e-05,0.00372044363937414,2.53935258660411
"TRPV1",-0.90240296,7.57006395,-5.3353051857845,3.11851614836369e-05,0.00372044363937414,2.53143490310794
"ALDH1B1",1.44555959,7.860428175,5.33211993614681,3.14123329848076e-05,0.00372044363937414,2.52460696029469
"ATP8B1",-1.3615138,12.9679843,-5.32883812011563,3.16481551218628e-05,0.00372044363937414,2.51757090723652
"HDC",-2.50660867,8.039703665,-5.32504167387559,3.19232080883938e-05,0.00372044363937414,2.50943011052734
"GCNT2",-1.8891956,9.8007904,-5.32333444117753,3.20476897915434e-05,0.00372044363937414,2.50576876756067
"PXMP2",-1.5090306,10.56357625,-5.31739148586106,3.24848855769673e-05,0.00372044363937414,2.49302110281487
"AZGP1P1",-1.382934,7.38824268,-5.31541960377978,3.26312861461508e-05,0.00372044363937414,2.48879059799509
